epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,300.703,0.42604,0.90381,0.39932,0.96161,0,0.99411,0.96667,0.96615,0.91593,0.99411,0.96667,0.96615,0.93454,0.32742,0.58182,0.26363,0.41386,0,0.0005546,0.0005546,0.0005546
75,304.16,0.45841,0.97827,0.44193,0.9822,0,0.99509,0.96667,0.96595,0.93349,0.99509,0.96667,0.96595,0.94946,0.29967,0.59704,0.25648,0.4059,0,0.0005348,0.0005348,0.0005348
76,307.63,0.41794,0.83472,0.38619,0.96209,0,0.99388,0.96667,0.9657,0.93339,0.99388,0.96667,0.9657,0.94191,0.31756,0.62217,0.27776,0.41592,0,0.000515,0.000515,0.000515
77,311.26,0.42046,0.79267,0.40148,0.96834,0,0.9916,0.96667,0.96553,0.94971,0.9916,0.96667,0.96553,0.93927,0.2764,0.56962,0.26575,0.3985,0,0.0004952,0.0004952,0.0004952
78,315.067,0.41606,0.77876,0.3849,0.96119,0,0.99106,0.96667,0.96547,0.93699,0.99106,0.96667,0.96547,0.94443,0.28313,0.54857,0.26466,0.40283,0,0.0004754,0.0004754,0.0004754
79,318.72,0.42367,0.79085,0.39439,0.962,0,0.99578,0.96667,0.96589,0.93311,0.99578,0.96667,0.96589,0.94148,0.30907,0.53808,0.23198,0.41429,0,0.0004556,0.0004556,0.0004556
80,322.201,0.43259,0.80797,0.39533,0.97244,0,0.99676,0.96667,0.966,0.92359,0.99676,0.96667,0.966,0.94248,0.30455,0.56025,0.22185,0.40281,0,0.0004358,0.0004358,0.0004358
81,325.613,0.41441,0.78543,0.38678,0.96683,0,0.9974,0.96667,0.96607,0.94191,0.9974,0.96667,0.96607,0.93802,0.29582,0.59579,0.22406,0.39807,0,0.000416,0.000416,0.000416
82,329.48,0.40672,0.77719,0.3822,0.96455,0,0.99748,0.96667,0.96626,0.92835,0.99748,0.96667,0.96626,0.94849,0.32753,0.57952,0.24664,0.41339,0,0.0003962,0.0003962,0.0003962
83,332.947,0.42144,0.8994,0.39557,0.96351,0,0.9978,0.96667,0.96661,0.92001,0.9978,0.96667,0.96661,0.9487,0.32952,0.61119,0.22819,0.41122,0,0.0003764,0.0003764,0.0003764
84,336.369,0.416,0.81236,0.38124,0.95745,0,0.9975,0.96667,0.96676,0.94341,0.9975,0.96667,0.96676,0.94865,0.28848,0.5922,0.20828,0.39502,0,0.0003566,0.0003566,0.0003566
85,339.748,0.41175,0.83445,0.37517,0.95395,0,0.99773,0.96667,0.96686,0.95172,0.99773,0.96667,0.96686,0.94556,0.2977,0.57524,0.20478,0.3956,0,0.0003368,0.0003368,0.0003368
86,343.561,0.39094,0.82957,0.3675,0.95097,0,0.99734,0.96667,0.96667,0.93799,0.99734,0.96667,0.96667,0.94523,0.31342,0.56383,0.20993,0.40573,0,0.000317,0.000317,0.000317
87,347.414,0.40995,0.84413,0.3731,0.96292,0,0.99736,0.96667,0.9665,0.92026,0.99736,0.96667,0.9665,0.9465,0.30252,0.53133,0.2095,0.40214,0,0.0002972,0.0002972,0.0002972
88,350.807,0.4027,0.85968,0.37698,0.962,0,0.99759,0.96667,0.96641,0.92972,0.99759,0.96667,0.96641,0.93752,0.26249,0.46784,0.19721,0.3892,0,0.0002774,0.0002774,0.0002774
89,354.499,0.40106,0.8199,0.35753,0.95969,0,0.99765,0.96667,0.9663,0.93458,0.99765,0.96667,0.9663,0.93399,0.27415,0.46528,0.19541,0.39268,0,0.0002576,0.0002576,0.0002576
90,358.056,0.37495,0.68986,0.34106,0.94793,0,0.99778,0.96667,0.96601,0.93287,0.99778,0.96667,0.96601,0.93385,0.26553,0.47221,0.18995,0.39279,0,0.0002378,0.0002378,0.0002378
91,362.449,0.28207,0.44086,0.44731,0.92435,0,0.99793,0.96667,0.96548,0.92997,0.99793,0.96667,0.96548,0.94348,0.3016,0.56648,0.21762,0.40244,0,0.000218,0.000218,0.000218
92,366.255,0.25241,0.45948,0.30146,0.89433,0,0.99797,0.96667,0.96533,0.93382,0.99797,0.96667,0.96533,0.94416,0.31952,0.57159,0.23636,0.40799,0,0.0001982,0.0001982,0.0001982
93,369.876,0.26865,0.36417,0.31622,0.89885,0,0.99789,0.96667,0.9654,0.93108,0.99789,0.96667,0.9654,0.95145,0.29825,0.52941,0.22467,0.40162,0,0.0001784,0.0001784,0.0001784
94,373.165,0.25925,0.34886,0.31087,0.90999,0,0.99751,0.96667,0.96558,0.94589,0.99751,0.96667,0.96558,0.94194,0.26281,0.49175,0.21796,0.39145,0,0.0001586,0.0001586,0.0001586
95,376.644,0.26974,0.39983,0.32617,0.8927,0,0.99733,0.96667,0.96567,0.93364,0.99733,0.96667,0.96567,0.94869,0.27909,0.43803,0.25112,0.39966,0,0.0001388,0.0001388,0.0001388
96,379.954,0.26048,0.36044,0.28168,0.8922,0,0.99722,0.96667,0.96579,0.94128,0.99722,0.96667,0.96579,0.94852,0.29319,0.4267,0.26071,0.40718,0,0.000119,0.000119,0.000119
97,383.361,0.25461,0.3999,0.26427,0.90316,0,0.99722,0.96667,0.96587,0.94477,0.99722,0.96667,0.96587,0.95208,0.29264,0.42149,0.25096,0.40689,0,9.92e-05,9.92e-05,9.92e-05
98,387.223,0.26694,0.37348,0.29198,0.93645,0,0.99742,0.96667,0.96589,0.94811,0.99742,0.96667,0.96589,0.94832,0.28833,0.41426,0.23724,0.40048,0,7.94e-05,7.94e-05,7.94e-05
99,390.547,0.24644,0.371,0.27276,0.89187,0,0.99761,0.96667,0.96589,0.95087,0.99761,0.96667,0.96589,0.94818,0.2802,0.41044,0.22284,0.39612,0,5.96e-05,5.96e-05,5.96e-05
100,394.279,0.23041,0.30426,0.25102,0.88937,0,0.99761,0.96667,0.96588,0.95589,0.99761,0.96667,0.96588,0.94807,0.26517,0.40921,0.214,0.39186,0,3.98e-05,3.98e-05,3.98e-05
